high scan speed (mm/s) and hatch spacing (mm),shap,lowess high scan speed (mm/s) and hatch spacing (mm),lowess shap,low scan speed (mm/s) and hatch spacing (mm),shap,lowess low scan speed (mm/s) and hatch spacing (mm),lowess shap
0.469,-0.007869444787502289,0.06,-0.005445380057779183,0.1,-0.009659972041845322,0.06,0.028095834924454
0.1,0.002604816108942032,0.06,-0.005445380057779183,0.11,0.01178639754652977,0.06,0.028095834924454
0.08,-0.019387967884540558,0.06,-0.005445380057779183,0.065,0.07972195744514465,0.06,0.028095834924454
0.13,0.012436766177415848,0.06,-0.005445380057779183,0.09,0.0009593814611434937,0.06,0.028095834924454
0.13,0.016500484198331833,0.06,-0.005445380057779183,0.1,0.032101694494485855,0.06,0.028095834924454
0.1,-0.0013030171394348145,0.06,-0.005445380057779183,0.1,-0.036569513380527496,0.06,0.028095834924454
0.08,-0.005972124636173248,0.06,-0.005445380057779183,0.03,0.02484952285885811,0.06,0.028095834924454
0.08,-0.003660149872303009,0.06,-0.005445380057779183,0.06,-0.014893069863319397,0.06,0.028095834924454
0.14,0.0003548217937350273,0.06,-0.005445380057779183,0.07,0.0060438960790634155,0.065,0.02629260382146326
0.11,-0.026454493403434753,0.06,-0.005445380057779183,0.065,0.09040025621652603,0.065,0.02629260382146326
0.13,-0.0012036114931106567,0.06,-0.005445380057779183,0.06,0.007224023342132568,0.065,0.02629260382146326
0.11,0.007455594837665558,0.06,-0.005445380057779183,0.065,0.07433302700519562,0.065,0.02629260382146326
0.1,0.013855203986167908,0.06,-0.005445380057779183,0.12,-0.04813094437122345,0.065,0.02629260382146326
0.13,0.00799734890460968,0.06,-0.005445380057779183,0.105,0.026348717510700226,0.065,0.02629260382146326
0.1,0.0013594888150691986,0.06,-0.005445380057779183,0.551,0.02767493948340416,0.065,0.02629260382146326
0.07,-0.005047885701060295,0.06,-0.005445380057779183,0.1,0.011180344969034195,0.065,0.02629260382146326
0.08,0.008751489222049713,0.06,-0.005445380057779183,0.11,-0.003507867455482483,0.065,0.02629260382146326
0.05,-0.003299623727798462,0.06,-0.005445380057779183,0.06,-0.0038033295422792435,0.065,0.02629260382146326
