high density(g/cm3) and scan speed (mm/s),shap,lowess high density(g/cm3) and scan speed (mm/s),lowess shap,low density(g/cm3) and scan speed (mm/s),shap,lowess low density(g/cm3) and scan speed (mm/s),lowess shap
200.0,0.001488836482167244,197.74,-0.0010253325135188057,800.0,-0.0017705988138914108,161.29,0.017108562335174923
625.0,0.025237206369638443,200.0,-0.0009347342969061996,800.0,0.009096930734813213,161.29,0.017108562335174923
1500.0,-0.04200033098459244,200.0,-0.0009347342969061996,700.0,-0.04590533673763275,166.0,0.016816801020954248
1000.0,0.012023195624351501,200.0,-0.0009347342969061996,1800.0,0.016646243631839752,166.6666667,0.01677557672902649
300.0,0.009138897061347961,200.0,-0.0009347342969061996,1000.0,-0.0012618862092494965,166.6666667,0.01677557672902649
100.0,0.041132792830467224,200.0,-0.0009347342969061996,480.0,-0.01705126464366913,166.6666667,0.01677557672902649
200.0,0.00344182550907135,200.0,-0.0009347342969061996,2400.0,-0.030140874907374382,166.6666667,0.01677557672902649
300.0,0.0071173980832099915,200.0,-0.0009347342969061996,1600.0,0.014217712916433811,166.67,0.01677537065496334
80.0,-0.02499740943312645,200.0,-0.0009347342969061996,333.14865,0.0033749835565686226,166.80914,0.0167667690279742
1000.0,-0.04456008970737457,200.0,-0.0009347342969061996,1400.0,0.00046200864017009735,166.9702,0.0167568132899464
200.0,-0.025157097727060318,200.0,-0.0009347342969061996,384.62,0.016175823286175728,167.22815,0.01674087060487741
450.0,-0.002143368124961853,200.0,-0.0009347342969061996,533.5372669,-0.03571120277047157,172.41,0.01642118016044401
1940.0,0.016092343255877495,200.0,-0.0009347342969061996,800.0,-0.03281674534082413,178.57,0.01604258345730401
500.0,0.021845296025276184,200.0,-0.0009347342969061996,277.0,-0.0006881672888994217,185.19,0.015637483419583594
500.0,0.01906699128448963,200.0,-0.0009347342969061996,100.0,-0.015067596919834614,192.31,0.015203862255473353
299.15,-0.02983793616294861,200.0,-0.0009347342969061996,1200.0,-0.0008443454280495644,192.31,0.015203862255473353
800.0,0.01021968200802803,200.0,-0.0009347342969061996,400.0,-0.0024956390261650085,192.31,0.015203862255473353
400.0,-0.001786588691174984,200.0,-0.0009347342969061996,360.0,-0.01540849357843399,196.0,0.014979991238690166
1190.47619,0.008623797446489334,200.0,-0.0009347342969061996,1400.0,-0.008332667872309685,199.72005,0.014754894683175413
1000.0,-0.014744281768798828,200.0,-0.0009347342969061996,100.0,0.02466413378715515,200.0,0.014737979567074651
400.0,0.010778803378343582,200.0,-0.0009347342969061996,166.6666667,0.010468763299286366,200.0,0.014737979567074651
1500.0,-0.016816895455121994,200.0,-0.0009347342969061996,1095.650211,0.035776086151599884,200.0,0.014737979567074651
1000.0,-0.007343398407101631,200.0,-0.0009347342969061996,222.33015,0.013717962428927422,200.0,0.014737979567074651
1200.0,0.014803074300289154,200.0,-0.0009347342969061996,475.0,-0.04296949505805969,200.0,0.014737979567074651
454.55,0.004169045016169548,200.0,-0.0009347342969061996,1400.0,0.0032899044454097748,200.0,0.014737979567074651
545.4545455,0.02077932097017765,200.0,-0.0009347342969061996,1200.0,0.013990086503326893,200.0,0.014737979567074651
1000.0,-0.0027210861444473267,200.0,-0.0009347342969061996,1200.0,0.01349891908466816,200.0,0.014737979567074651
400.0,0.018647242337465286,200.0,-0.0009347342969061996,666.6666667,-0.015467569231987,200.0,0.014737979567074651
800.0,-0.01932959258556366,200.0,-0.0009347342969061996,357.14,0.015709631145000458,200.0,0.014737979567074651
600.0,0.018158569931983948,200.0,-0.0009347342969061996,300.0,0.010366924107074738,200.0,0.014737979567074651
500.0,0.028605248779058456,200.0,-0.0009347342969061996,960.0,0.00859704241156578,200.06618,0.014733981344400682
300.0,0.008044607937335968,200.0,-0.0009347342969061996,1200.0,0.006859452463686466,208.33,0.014236235960972125
350.0,-0.001539856195449829,200.0,-0.0009347342969061996,1200.0,0.015387173742055893,208.33,0.014236235960972125
200.0,5.473010241985321e-05,200.0,-0.0009347342969061996,700.0,-0.01635049842298031,208.33,0.014236235960972125
700.0,0.01666872575879097,200.0,-0.0009347342969061996,300.0,0.020931316539645195,217.39,0.01369399841770928
1500.0,0.0075356438755989075,200.0,-0.0009347342969061996,598.6465722,-0.03840292990207672,217.39,0.01369399841770928
1000.0,-0.005407705903053284,200.0,-0.0009347342969061996,400.0,-0.028897032141685486,217.39,0.01369399841770928
250.0,0.002046838402748108,200.0,-0.0009347342969061996,900.0,0.021335920318961143,222.33015,0.013399870211513412
1200.0,0.007768087089061737,203.49,-0.0007952715212094115,2138.989401,3.93744558095932e-05,227.27,0.013106850452789144
800.0,-0.005430744029581547,203.49,-0.0007952715212094115,1300.0,0.02613498643040657,238.1,0.012468273842235098
80.0,-0.023313652724027634,209.58,-0.000553210253831287,500.0,-0.011643806472420692,238.1,0.012468273842235098
800.0,-0.007756024599075317,209.58,-0.000553210253831287,1200.0,0.015341807156801224,238.1,0.012468273842235098
250.0,-0.01418046373873949,216.05,-0.0002978715413236055,1400.0,0.004920824430882931,240.0,0.012356787233549583
1400.0,-0.004461728967726231,222.93,-2.8435343674772954e-05,555.55,-0.025919662788510323,240.0,0.012356787233549583
1600.0,-0.0002836044877767563,230.26,0.0002562427762585476,138.89,0.02765156701207161,240.0,0.012356787233549583
900.0,0.00810721144080162,231.3834536,0.00029965660787167425,700.0,-0.002546176314353943,250.0,0.01177270048415062
800.0,-0.003189033828675747,238.1,0.0005579908398562569,2000.0,0.018661919981241226,250.0,0.01177270048415062
700.0,-0.006047755479812622,246.48,0.0008773778928400672,160.0,0.0387151837348938,250.0,0.01177270048415062
500.0,0.01902368851006031,246.48,0.0008773778928400672,360.0,-0.019973034039139748,250.0,0.01177270048415062
1500.0,-0.03672663867473602,250.0,0.0010105636246389832,5000.0,0.009445415809750557,250.0,0.01177270048415062
50.0,0.024368450045585632,250.0,0.0010105636246389832,200.0,0.030449431389570236,250.08052,0.011768015740225434
350.0,-0.0006565451622009277,250.0,0.0010105636246389832,600.0,-0.033688247203826904,250.45206,0.011746402918821414
200.0,-0.019445201382040977,250.0,0.0010105636246389832,500.0,0.001961315982043743,250.4799,0.011744783691640618
187.17,-0.03270465508103371,250.0,0.0010105636246389832,1200.0,0.02605506032705307,263.16,0.011010923277130817
400.0,-0.009154662489891052,250.0,0.0010105636246389832,800.0,-0.018470624461770058,263.16,0.011010923277130817
800.0,0.0036568492650985718,250.0,0.0010105636246389832,312.5,0.02759474143385887,266.3316981,0.010828496047454263
1000.0,0.008453559130430222,250.0,0.0010105636246389832,3600.0,0.009313736110925674,277.0,0.010218208577198946
666.6666667,-0.007234129123389721,250.0,0.0010105636246389832,800.0,-0.01843341812491417,277.0,0.010218208577198946
800.0,-0.0008987337350845337,250.0,0.0010105636246389832,166.67,0.02661011554300785,277.0,0.010218208577198946
1200.0,0.009038258343935013,255.47,0.0012163887275977096,1000.0,0.015276569873094559,277.0,0.010218208577198946
203.49,-0.028023364022374153,255.47,0.0012163887275977096,400.0,0.0020498689264059067,277.0,0.010218208577198946
560.0,0.02673119679093361,265.15,0.0015772205669935143,800.0,0.008618353866040707,277.0,0.010218208577198946
500.0,0.0262126661837101,275.59,0.0019615152599342105,500.0,-0.05186305195093155,277.0,0.010218208577198946
1250.0,-0.000683128833770752,275.59,0.0019615152599342105,700.0,-0.022909894585609436,277.78,0.010173788649886908
700.0,0.013061776757240295,275.59,0.0019615152599342105,800.0,-0.014275729656219482,277.78,0.010173788649886908
286.89,-0.029988639056682587,277.3352218,0.0020252657981995508,960.0,0.00910558644682169,277.78,0.010173788649886908
173.27,-0.03288440778851509,286.89,0.0023718146676255376,850.0,0.004631713032722473,294.12,0.009249517753682131
150.0,-0.027150370180606842,286.89,0.0023718146676255376,167.22815,0.015074692666530609,294.12,0.009249517753682131
500.0,0.026338037103414536,286.89,0.0023718146676255376,238.1,-0.0008963793516159058,299.4454677,0.008950867176535156
1180.0,-0.003362368792295456,299.15,0.0028104259645729606,125.77855,0.011376628652215004,300.0,0.008919842068800539
1053.8,-0.0057277679443359375,299.15,0.0028104259645729606,1000.0,0.002013757824897766,300.0,0.008919842068800539
1800.0,0.010221095755696297,299.15,0.0028104259645729606,227.27,0.026037950068712234,300.0,0.008919842068800539
800.0,-0.011688083410263062,300.0,0.0028405867937548296,192.31,0.027319619432091713,300.0,0.008919842068800539
300.0,0.03852977603673935,300.0,0.0028405867937548296,384.62,0.01470852829515934,300.0,0.008919842068800539
300.0,0.028782788664102554,300.0,0.0028405867937548296,1400.0,-0.016631020233035088,300.0,0.008919842068800539
1800.0,0.0019184388220310211,300.0,0.0028405867937548296,142.86,0.027737680822610855,300.6517978,0.008883392687294841
900.0,-0.008972005918622017,300.0,0.0028405867937548296,2000.0,0.0156162790954113,312.5,0.008224125956511298
250.0,0.01722550392150879,300.0,0.0028405867937548296,500.0,-0.02395232766866684,312.5,0.008224125956511298
400.0,0.02937857247889042,300.0,0.0028405867937548296,800.0,0.010726752690970898,312.5,0.008224125956511298
600.0,-0.002859801985323429,300.0,0.0028405867937548296,1100.0,0.0015055565163493156,312.5,0.008224125956511298
286.89,-0.022906020283699036,300.0,0.0028405867937548296,840.0,-8.839438669383526e-05,320.0,0.007810024451089869
900.0,0.0004046708345413208,300.0,0.0028405867937548296,1500.0,0.017477115616202354,320.0,0.007810024451089869
1093.75,-0.0280425027012825,300.0,0.0028405867937548296,2000.0,0.0090193971991539,330.0,0.007261731030431086
1500.0,-0.026894889771938324,300.0,0.0028405867937548296,1200.0,0.016834896057844162,333.14865,0.007089992837708566
800.0,0.013446096330881119,300.0,0.0028405867937548296,1200.0,0.004411994945257902,333.33,0.007080114427203333
100.0,0.00029918551445007324,300.0,0.0028405867937548296,1800.0,0.007435033097863197,333.33,0.007080114427203333
900.0,0.009259343147277832,300.0,0.0028405867937548296,500.0,-0.010350888594985008,333.33,0.007080114427203333
1750.0,-0.012887047603726387,300.0,0.0028405867937548296,500.0,-0.00231547886505723,333.3333333,0.007079932870550131
400.0,0.004470363259315491,300.0,0.0028405867937548296,110.53303,0.006882913410663605,333.3333333,0.007079932870550131
