high scan speed (mm/s) and laser power (watt),shap,lowess high scan speed (mm/s) and laser power (watt),lowess shap,medium scan speed (mm/s) and laser power (watt),shap,lowess medium scan speed (mm/s) and laser power (watt),lowess shap,low scan speed (mm/s) and laser power (watt),shap,lowess low scan speed (mm/s) and laser power (watt),lowess shap
50.0,0.024878986179828644,80.0,-0.07399318082960699,380.0,-0.027608932927250862,80.0,0.00037453346601629925,150.0,0.028291866183280945,60.9,0.08197283168550576
200.0,0.014538376592099667,95.0,-0.0641803525903971,90.0,0.015818677842617035,80.0,0.00037453346601629925,105.0,-0.004789341241121292,66.48,0.0791975108902126
110.0,-0.15246881544589996,95.0,-0.0641803525903971,100.0,0.03252078592777252,80.0,0.00037453346601629925,200.0,0.03373604267835617,70.0,0.07744213092000721
200.0,0.00996352732181549,100.0,-0.060906304667691605,280.0,0.023667514324188232,80.0,0.00037453346601629925,50.0,0.13310131430625916,73.0,0.07594360237033557
270.0,0.05819716304540634,100.0,-0.060906304667691605,280.0,-0.05287148803472519,90.0,0.0015144427414381292,230.0,0.010505525395274162,75.0,0.0749435513008075
300.0,0.04260559380054474,100.0,-0.060906304667691605,200.0,0.01482713595032692,90.0,0.0015144427414381292,200.0,0.062362611293792725,75.0,0.0749435513008075
200.0,0.014449143782258034,100.0,-0.060906304667691605,135.0,-0.06096688657999039,90.0,0.0015144427414381292,150.0,0.05859389901161194,75.0,0.0749435513008075
280.0,0.02103324979543686,100.0,-0.060906304667691605,150.0,-0.005796860903501511,90.0,0.0015144427414381292,200.0,0.030988767743110657,75.0,0.0749435513008075
340.0,0.03340626880526543,100.0,-0.060906304667691605,300.0,-0.025216570124030113,95.0,0.0020817277347766616,200.0,0.03640639781951904,80.0,0.07244098553419619
350.0,0.04740364849567413,100.0,-0.060906304667691605,300.0,-0.012695426121354103,95.0,0.0020817277347766616,200.0,0.004941772669553757,80.0,0.07244098553419619
160.81,-0.021670222282409668,100.0,-0.060906304667691605,155.0,-0.01916290633380413,95.0,0.0020817277347766616,250.0,-0.036932311952114105,80.0,0.07244098553419619
200.0,-0.017935141921043396,102.0,-0.05959769418338461,200.0,0.0028961114585399628,95.0,0.0020817277347766616,175.0,0.028775133192539215,83.1,0.07088907664456545
280.0,0.08535599708557129,110.0,-0.05437459554106769,180.0,0.005910716950893402,95.0,0.0020817277347766616,200.0,0.03061024844646454,85.0,0.06993851203130119
200.0,-0.04418203979730606,120.0,-0.04788671105561402,350.0,0.0008936021476984024,95.0,0.0020817277347766616,250.0,-0.046606093645095825,85.0,0.06993851203130119
50.0,0.014194980263710022,120.0,-0.04788671105561402,175.0,0.00407605804502964,95.0,0.0020817277347766616,350.0,-0.004341583698987961,87.0,0.0689388456355192
280.0,0.04756765812635422,120.0,-0.04788671105561402,200.0,0.016873471438884735,95.0,0.0020817277347766616,480.0,0.017165809869766235,89.1,0.06789056344419217
