high thermal conductivity (W/mK) and laser power (watt),shap,lowess high thermal conductivity (W/mK) and laser power (watt),lowess shap,low thermal conductivity (W/mK) and laser power (watt),shap,lowess low thermal conductivity (W/mK) and laser power (watt),lowess shap
200.0,0.003341592848300934,102.0,-0.03750880820370503,200.0,-0.004336964339017868,75.0,0.021268826771944808
250.0,0.01221427321434021,102.0,-0.03750880820370503,50.0,0.024663379415869713,75.0,0.021268826771944808
175.0,-0.03925494849681854,102.0,-0.03750880820370503,200.0,0.010234382934868336,80.0,0.021302143272252775
300.0,0.06163332611322403,110.0,-0.03492239233766883,110.0,-0.01598474755883217,80.0,0.021302143272252775
300.0,-0.0019639134407043457,120.0,-0.031759447975240176,200.0,0.00838671624660492,80.0,0.021302143272252775
270.0,0.00457262247800827,120.0,-0.031759447975240176,100.0,0.05740562826395035,80.0,0.021302143272252775
350.0,0.026395387947559357,128.0,-0.0293119925808289,270.0,-0.014924310147762299,80.0,0.021302143272252775
300.0,0.0363028347492218,128.0,-0.0293119925808289,200.0,-0.012707371264696121,80.0,0.021302143272252775
200.0,-0.007026411592960358,150.0,-0.02315396549770072,200.0,0.009736388921737671,80.0,0.021302143272252775
300.0,0.018100351095199585,150.0,-0.02315396549770072,105.0,-0.04739140719175339,80.0,0.021302143272252775
110.0,-0.03554360568523407,150.0,-0.02315396549770072,200.0,0.011470519006252289,80.0,0.021302143272252775
200.0,0.030180245637893677,150.0,-0.02315396549770072,200.0,0.03254314884543419,80.0,0.021302143272252775
250.0,0.021304026246070862,150.0,-0.02315396549770072,285.0,-0.0025641508400440216,83.1,0.021324161296634208
170.0,-0.026195500046014786,150.0,-0.02315396549770072,280.0,-0.010409127920866013,87.0,0.02135359576038933
200.0,-0.014622941613197327,150.0,-0.02315396549770072,50.0,0.008656114339828491,90.0,0.02137768691438259
370.0,0.04292939603328705,150.0,-0.02315396549770072,225.0,-0.006586320698261261,90.0,0.02137768691438259
370.0,0.018053043633699417,150.0,-0.02315396549770072,340.0,-0.022726720198988914,90.0,0.02137768691438259
200.0,0.025472868233919144,150.0,-0.02315396549770072,350.0,0.014379771426320076,93.0,0.02140342029724501
500.0,0.012387052178382874,150.0,-0.02315396549770072,200.0,-0.005331739783287048,95.0,0.021421822994662845
350.0,0.043964602053165436,153.0,-0.022380306250006515,160.81,0.017082782462239265,95.0,0.021421822994662845
250.0,0.002215169370174408,153.0,-0.022380306250006515,240.0,0.011504389345645905,95.0,0.021421822994662845
370.0,0.012652254663407803,153.0,-0.022380306250006515,200.0,0.0055780112743377686,95.0,0.021421822994662845
200.0,0.020929530262947083,153.0,-0.022380306250006515,200.0,0.007448004558682442,95.0,0.021421822994662845
250.0,0.006093041971325874,160.0,-0.020559137186114528,150.0,0.03875201940536499,95.0,0.021421822994662845
200.0,0.02846202254295349,170.0,-0.017436763784815772,200.0,0.010993130505084991,95.0,0.021421822994662845
200.0,0.003739483654499054,170.0,-0.017436763784815772,280.0,-0.012091655284166336,95.0,0.021421822994662845
60.0,-0.02318868786096573,170.0,-0.017436763784815772,380.0,-0.010978462174534798,95.0,0.021421822994662845
250.0,0.0060025230050086975,170.0,-0.017436763784815772,200.0,0.010572172701358795,95.0,0.021421822994662845
350.0,0.023050077259540558,170.0,-0.017436763784815772,200.0,-0.0038552917540073395,95.0,0.021421822994662845
300.0,0.0599481500685215,170.0,-0.017436763784815772,50.0,0.0345829539000988,95.0,0.021421822994662845
350.0,-0.008732348680496216,170.0,-0.017436763784815772,280.0,-0.01930975168943405,95.0,0.021421822994662845
250.0,0.018288876861333847,170.0,-0.017436763784815772,200.0,0.012089341878890991,95.0,0.021421822994662845
200.0,0.005661997944116592,170.0,-0.017436763784815772,200.0,0.011486981064081192,95.0,0.021421822994662845
420.0,0.06567318737506866,170.0,-0.017436763784815772,75.0,-0.019867494702339172,95.0,0.021421822994662845
200.0,0.004432231187820435,175.0,-0.015393897632089702,125.0,0.015293747186660767,95.0,0.021421822994662845
200.0,-0.014394685626029968,175.0,-0.015393897632089702,100.0,0.07501444965600967,95.0,0.021421822994662845
270.0,0.004237085580825806,175.0,-0.015393897632089702,225.0,0.013526123017072678,95.0,0.021421822994662845
370.0,0.057558730244636536,175.0,-0.015393897632089702,170.0,0.037648700177669525,95.0,0.021421822994662845
179.0,-0.02184508740901947,175.0,-0.015393897632089702,280.0,-0.010813862085342407,99.72,0.021470963728933284
300.0,0.04332154616713524,175.0,-0.015393897632089702,280.0,-0.030459867790341377,100.0,0.021474189698933242
300.0,0.027178242802619934,175.0,-0.015393897632089702,250.0,-0.0299430713057518,100.0,0.021474189698933242
275.0,0.01729165017604828,175.0,-0.015393897632089702,200.0,-0.0016609635204076767,100.0,0.021474189698933242
250.0,0.016233457252383232,175.0,-0.015393897632089702,200.0,0.01984003558754921,100.0,0.021474189698933242
370.0,0.06336289644241333,175.0,-0.015393897632089702,250.0,-0.001485331915318966,100.0,0.021474189698933242
250.0,0.01526346430182457,175.0,-0.015393897632089702,125.0,-0.034007586538791656,100.0,0.021474189698933242
250.0,0.014031864702701569,179.0,-0.01353813575837408,200.0,0.012308184057474136,100.0,0.021474189698933242
200.0,-0.01725061982870102,179.0,-0.01353813575837408,80.0,0.1259794533252716,100.0,0.021474189698933242
180.0,0.03236355260014534,180.0,-0.013047431406374412,250.0,0.008625861257314682,100.0,0.021474189698933242
