density(g/cm3),shap,lowess density(g/cm3),lowess shap
8.9,0.014846660196781158,1.84,-0.0007287716455726478
8.9,0.01199035719037056,1.84,-0.0007287716455726478
8.0,0.02879972569644451,1.84,-0.0007287716455726478
8.93,-0.11865603923797607,1.84,-0.0007287716455726478
8.0,0.029454410076141357,1.84,-0.0007287716455726478
1.84,-0.011788702569901943,1.84,-0.0007287716455726478
8.9,0.034028977155685425,1.84,-0.0007287716455726478
8.44,0.018280941992998123,1.84,-0.0007287716455726478
8.78,0.010652248747646809,1.84,-0.0007287716455726478
4.43,-0.0140113215893507,1.84,-0.0007287716455726478
5.66,0.018268104642629623,1.84,-0.0007287716455726478
8.78,0.02903720736503601,1.84,-0.0007287716455726478
8.0,0.030558129772543907,1.84,-0.0007287716455726478
8.0,0.01588784158229828,1.84,-0.0007287716455726478
2.66,-0.0013666050508618355,1.84,-0.0007287716455726478
8.9,0.03677050769329071,1.84,-0.0007287716455726478
7.85,0.01873440109193325,1.84,-0.0007287716455726478
8.23,0.027743151411414146,1.84,-0.0007287716455726478
8.0,0.011113802902400494,1.84,-0.0007287716455726478
2.81,-0.014057527296245098,1.84,-0.0007287716455726478
4.43,-0.018791133537888527,1.84,-0.0007287716455726478
2.696448,0.010562717914581299,1.84,-0.0007287716455726478
7.8,-0.019093649461865425,1.84,-0.0007287716455726478
2.67,0.005332040600478649,1.84,-0.0007287716455726478
8.44,0.02276976965367794,1.84,-0.0007287716455726478
8.23,-0.0008790092542767525,1.84,-0.0007287716455726478
8.0,0.023283647373318672,1.84,-0.0007287716455726478
2.81,-0.01686626859009266,1.84,-0.0007287716455726478
8.19,0.02209617756307125,1.84,-0.0007287716455726478
2.66,0.02561570331454277,1.84,-0.0007287716455726478
8.19,0.02245347946882248,2.642761,-0.0037844297729196464
8.0,0.004597291350364685,2.642761,-0.0037844297729196464
8.23,0.04529332369565964,2.642761,-0.0037844297729196464
4.43,-0.023476475849747658,2.642761,-0.0037844297729196464
1.84,0.013302045874297619,2.642761,-0.0037844297729196464
1.8,0.006321556866168976,2.642761,-0.0037844297729196464
8.93,-0.12360066920518875,2.655008,-0.0038303016961671685
8.19,0.012847382575273514,2.655008,-0.0038303016961671685
6.471,-0.011570533737540245,2.655008,-0.0038303016961671685
8.0,0.014997033402323723,2.655008,-0.0038303016961671685
8.93,-0.12721571326255798,2.655008,-0.0038303016961671685
8.23,0.008755035698413849,2.655008,-0.0038303016961671685
8.44,0.016270780935883522,2.655008,-0.0038303016961671685
2.67,0.02543918788433075,2.655008,-0.0038303016961671685
4.43,0.0039841001853346825,2.66,-0.003848990658928206
8.0,0.012217869982123375,2.66,-0.003848990658928206
8.05,0.02039242349565029,2.66,-0.003848990658928206
2.78,-0.005937657319009304,2.66,-0.003848990658928206
4.43,-0.004441666416823864,2.66,-0.003848990658928206
1.8,0.006335821934044361,2.66,-0.003848990658928206
7.8,-0.012222778052091599,2.66,-0.003848990658928206
8.23,0.005674326792359352,2.66,-0.003848990658928206
8.23,0.028736339882016182,2.66,-0.003848990658928206
2.78,-0.012953042984008789,2.66,-0.003848990658928206
8.0,0.02710837498307228,2.66,-0.003848990658928206
1.81,0.017995236441493034,2.66,-0.003848990658928206
