thermal conductivity (W/mK),shap,lowess thermal conductivity (W/mK),lowess shap
236.0,-0.07120396941900253,6.7,0.041150251571107875
151.0,-0.07954347878694534,6.7,0.041150251571107875
9.8,0.04475237429141998,6.7,0.041150251571107875
35.73,0.02072681486606598,6.7,0.041150251571107875
6.7,0.030793756246566772,6.7,0.041150251571107875
9.8,0.02859535813331604,6.7,0.041150251571107875
11.4,0.045675188302993774,6.7,0.041150251571107875
6.7,0.0446428582072258,6.7,0.041150251571107875
21.4,-0.011815270408987999,6.7,0.041150251571107875
42.5,-0.004710531793534756,6.7,0.041150251571107875
6.7,0.06520450115203857,6.7,0.041150251571107875
65.2,-0.027253227308392525,6.7,0.041150251571107875
72.7,-0.022866586223244667,6.7,0.041150251571107875
19.6648,-0.007869524881243706,6.7,0.041150251571107875
13.8,0.0358029380440712,6.7,0.041150251571107875
146.0,-0.09281431138515472,6.7,0.041150251571107875
6.7,0.03739309310913086,6.7,0.041150251571107875
21.4,0.00205963384360075,6.7,0.041150251571107875
9.4,0.015550853684544563,6.7,0.041150251571107875
6.7,0.031606290489435196,6.7,0.041150251571107875
6.7,0.038813695311546326,6.7,0.041150251571107875
21.4,-0.00018615275621414185,6.7,0.041150251571107875
6.7,0.03516562655568123,6.7,0.041150251571107875
151.0,-0.08709557354450226,6.7,0.041150251571107875
42.5,0.012619145214557648,6.7,0.041150251571107875
21.4,-0.020736606791615486,6.7,0.041150251571107875
170.0,-0.0692848339676857,6.7,0.041150251571107875
385.0,-0.09604495763778687,6.7,0.041150251571107875
6.7,0.0536855086684227,6.7,0.041150251571107875
146.0,-0.07097332179546356,6.7,0.041150251571107875
146.0,-0.05804623290896416,6.7,0.041150251571107875
6.7,0.03291185945272446,6.7,0.041150251571107875
120.0,-0.04595445096492767,6.7,0.041150251571107875
146.0,-0.041071124374866486,6.7,0.041150251571107875
51.3,-0.024060510098934174,6.7,0.041150251571107875
320.0,-0.07934758067131042,6.7,0.041150251571107875
320.0,-0.08698639273643494,6.7,0.041150251571107875
21.4,0.022146187722682953,6.7,0.041150251571107875
385.0,-0.07064418494701385,6.7,0.041150251571107875
21.4,0.006520338822156191,6.7,0.041150251571107875
51.3,-0.04107067734003067,6.7,0.041150251571107875
320.0,-0.05592010170221329,6.7,0.041150251571107875
9.8,0.03984601050615311,6.7,0.041150251571107875
50.0,-0.017062261700630188,6.7,0.041150251571107875
6.7,0.04807734489440918,6.7,0.041150251571107875
7.2,0.08217788487672806,6.7,0.041150251571107875
50.0,0.014122151769697666,6.7,0.041150251571107875
21.4,0.010391335003077984,6.7,0.041150251571107875
15.2,0.04224422201514244,6.7,0.041150251571107875
121.0,-0.05786856263875961,6.7,0.041150251571107875
320.0,-0.0490606315433979,6.7,0.041150251571107875
52.0,-0.014543947763741016,6.7,0.041150251571107875
11.6,0.055228665471076965,6.7,0.041150251571107875
21.4,-0.01148821972310543,6.7,0.041150251571107875
130.0,-0.0682682991027832,6.7,0.041150251571107875
6.7,0.0190800242125988,6.7,0.041150251571107875
220.424528,-0.0400594137609005,6.7,0.041150251571107875
42.5,-0.012354782782495022,6.7,0.041150251571107875
146.0,-0.05522307753562927,6.7,0.041150251571107875
9.8,0.04793005809187889,6.7,0.041150251571107875
11.6,0.027446847409009933,6.7,0.041150251571107875
21.4,0.005345316603779793,6.7,0.041150251571107875
130.0,-0.06583668291568756,6.7,0.041150251571107875
11.4,0.04646319895982742,6.7,0.041150251571107875
117.0,-0.020257364958524704,6.7,0.041150251571107875
11.4,0.047229234129190445,6.7,0.041150251571107875
21.4,-0.02597515471279621,6.7,0.041150251571107875
11.6,0.0811881572008133,6.7,0.041150251571107875
