specific heat capacity (J/gK),shap,lowess specific heat capacity (J/gK),lowess shap
1.047,-0.07990086078643799,0.41,0.0012617225671207757
0.461,-0.00957909319549799,0.41,0.0012617225671207757
0.9,-0.004276949912309647,0.41,0.0012617225671207757
0.5,0.005454763304442167,0.41,0.0012617225671207757
1.047,-0.08915188908576965,0.41,0.0012617225671207757
0.56,-0.006687883287668228,0.41,0.0012617225671207757
0.385,-0.00035562017001211643,0.41,0.0012617225671207757
0.377,-0.005212156102061272,0.41,0.0012617225671207757
0.461,-0.0031151282601058483,0.41,0.0012617225671207757
1.06,-0.07010010629892349,0.41,0.0012617225671207757
0.45,7.484667003154755e-05,0.41,0.0012617225671207757
0.461,-0.005451515782624483,0.41,0.0012617225671207757
0.48,0.005263892933726311,0.41,0.0012617225671207757
0.435,-0.005077386274933815,0.41,0.0012617225671207757
0.5263,-0.00605977326631546,0.41,0.0012617225671207757
0.88414745,-0.004995131865143776,0.41,0.0012617225671207757
0.896,0.0022696591913700104,0.41,0.0012617225671207757
0.47,0.0038542617112398148,0.41,0.0012617225671207757
0.5263,-0.0044343126937747,0.41,0.0012617225671207757
0.435,0.01404664758592844,0.41,0.0012617225671207757
0.5,0.009526455774903297,0.41,0.0012617225671207757
0.5263,-0.0038813529536128044,0.41,0.0012617225671207757
0.43,-0.0034506618976593018,0.41,0.0012617225671207757
0.377,-0.008130889385938644,0.41,0.0012617225671207757
0.41,0.017802761867642403,0.41,0.0012617225671207757
0.89,-0.016577240079641342,0.41,0.0012617225671207757
0.435,0.01991669461131096,0.41,0.0012617225671207757
0.385,0.00784287415444851,0.41,0.0012617225671207757
0.41,0.005571624264121056,0.41,0.0012617225671207757
0.5263,-0.0038713933899998665,0.41,0.0012617225671207757
0.705,-0.012652366422116756,0.41,0.0012617225671207757
0.43,0.004581248387694359,0.41,0.0012617225671207757
0.47,0.0073089925572276115,0.41,0.0012617225671207757
0.435,0.0012640049681067467,0.41,0.0012617225671207757
1.0,0.024091549217700958,0.41,0.0012617225671207757
0.5,0.0030225806403905153,0.41,0.0012617225671207757
1.0,0.0162326842546463,0.41,0.0012617225671207757
0.88414745,-0.008556208573281765,0.41,0.0012617225671207757
0.5263,0.0022832192480564117,0.41,0.0012617225671207757
0.46,-0.011344903148710728,0.41,0.0012617225671207757
0.7148,-0.0024945326149463654,0.41,0.0012617225671207757
0.38,0.0017569414339959621,0.41,0.0012617225671207757
0.5718,0.007639042101800442,0.41,0.0012617225671207757
0.7148,0.00014130782801657915,0.41,0.0012617225671207757
0.5,-0.0021216697059571743,0.41,0.0012617225671207757
0.5,0.00025596003979444504,0.41,0.0012617225671207757
0.47,-0.011727068573236465,0.41,0.0012617225671207757
0.5263,0.011442484334111214,0.41,0.0012617225671207757
0.47,0.01522492989897728,0.41,0.0012617225671207757
0.5263,-0.004525952506810427,0.41,0.0012617225671207757
0.5263,-0.004721053410321474,0.41,0.0012617225671207757
0.5,0.0014524529688060284,0.41,0.0012617225671207757
0.134,-0.007095931097865105,0.41,0.0012617225671207757
0.385,0.0042089009657502174,0.41,0.0012617225671207757
0.5263,-0.005988916847854853,0.41,0.0012617225671207757
0.41,0.0034310081973671913,0.41,0.0012617225671207757
0.38,0.00027706846594810486,0.41,0.0012617225671207757
0.47,-0.003991751465946436,0.41,0.0012617225671207757
0.89708321,0.0018460713326931,0.41,0.0012617225671207757
0.5,0.004338226281106472,0.41,0.0012617225671207757
0.481,-0.002596022095531225,0.41,0.0012617225671207757
0.134,-0.00967772863805294,0.41,0.0012617225671207757
0.5263,-0.005364299286156893,0.41,0.0012617225671207757
0.88414745,-0.014745966531336308,0.41,0.0012617225671207757
0.47,-0.006794974207878113,0.41,0.0012617225671207757
0.5718,0.007665877230465412,0.41,0.0012617225671207757
0.5263,-0.0015133125707507133,0.41,0.0012617225671207757
0.7148,-0.0016894852742552757,0.41,0.0012617225671207757
0.422,0.002733173780143261,0.41,0.0012617225671207757
0.5263,0.005650043021887541,0.41,0.0012617225671207757
0.88414745,-0.01599518209695816,0.41,0.0012617225671207757
0.89,-0.019986752420663834,0.41,0.0012617225671207757
0.5263,-0.0010467732790857553,0.41,0.0012617225671207757
0.88414745,-0.004430292174220085,0.41,0.0012617225671207757
0.134,-0.0033696722239255905,0.41,0.0012617225671207757
0.88414745,-0.001319143921136856,0.41,0.0012617225671207757
0.41,-0.009769664146006107,0.41,0.0012617225671207757
0.88414745,-0.018780292943120003,0.41,0.0012617225671207757
0.5263,-0.005469807889312506,0.41,0.0012617225671207757
0.7148,0.0006815467495471239,0.41,0.0012617225671207757
0.5,0.0008100762497633696,0.41,0.0012617225671207757
0.5263,-0.004639466293156147,0.41,0.0012617225671207757
0.134,-0.008449140936136246,0.41,0.0012617225671207757
0.46,0.005200223531574011,0.41,0.0012617225671207757
0.41,0.00857891421765089,0.41,0.0012617225671207757
0.38,0.007457886356860399,0.41,0.0012617225671207757
0.38,-0.0009728460572659969,0.41,0.0012617225671207757
0.89,-0.0075539350509643555,0.41,0.0012617225671207757
0.56,-0.012865575961768627,0.41,0.0012617225671207757
0.5,0.004030177369713783,0.41,0.0012617225671207757
0.896,-0.015947699546813965,0.41,0.0012617225671207757
0.5718,-0.006134164985269308,0.41,0.0012617225671207757
0.5,-0.015175731852650642,0.41,0.0012617225671207757
1.0,0.02560357376933098,0.41,0.0012617225671207757
0.134,0.004085240885615349,0.422,0.0008402861132796923
0.904974093,-0.007125132717192173,0.422,0.0008402861132796923
0.5,-0.008252735249698162,0.422,0.0008402861132796923
0.461,-0.005900915712118149,0.422,0.0008402861132796923
0.134,-0.017817489802837372,0.422,0.0008402861132796923
0.919948187,0.005215350538492203,0.422,0.0008402861132796923
1.05,-0.04540173336863518,0.422,0.0008402861132796923
0.46,0.02530013397336006,0.422,0.0008402861132796923
0.5,-0.002531536389142275,0.422,0.0008402861132796923
0.377,-0.009364062920212746,0.422,0.0008402861132796923
0.5263,-0.004455015994608402,0.422,0.0008402861132796923
0.5263,-0.004789263941347599,0.422,0.0008402861132796923
0.46,-0.011011794209480286,0.422,0.0008402861132796923
0.377,0.005330204032361507,0.422,0.0008402861132796923
0.5,0.004270476289093494,0.422,0.0008402861132796923
0.435,-0.006795739755034447,0.422,0.0008402861132796923
0.41,-0.002548906020820141,0.422,0.0008402861132796923
0.41,0.0006219940260052681,0.422,0.0008402861132796923
0.41,0.00840834341943264,0.422,0.0008402861132796923
0.38,0.002681183163076639,0.422,0.0008402861132796923
0.5,-0.00602290453389287,0.422,0.0008402861132796923
0.41,0.0006720027886331081,0.422,0.0008402861132796923
0.385,0.004805690608918667,0.422,0.0008402861132796923
0.41,0.0008309092372655869,0.422,0.0008402861132796923
0.134,-0.004606286529451609,0.43,0.0005742711126858783
0.48,0.0073578571900725365,0.43,0.0005742711126858783
0.5263,-0.004893568344414234,0.43,0.0005742711126858783
0.41,-0.0037659192457795143,0.43,0.0005742711126858783
0.5,-0.010826526209712029,0.43,0.0005742711126858783
0.9,0.0033183014020323753,0.43,0.0005742711126858783
0.38,0.0032619228586554527,0.43,0.0005742711126858783
0.909948187,0.015525294467806816,0.43,0.0005742711126858783
0.38,0.0013310895301401615,0.43,0.0005742711126858783
0.5,0.009625469334423542,0.43,0.0005742711126858783
0.461,-0.006862069014459848,0.43,0.0005742711126858783
0.47,-0.002768806181848049,0.43,0.0005742711126858783
0.89708321,-0.0006536636501550674,0.43,0.0005742711126858783
0.45,-0.007101776078343391,0.43,0.0005742711126858783
1.0,0.004101882688701153,0.43,0.0005742711126858783
1.0,0.02375956065952778,0.43,0.0005742711126858783
0.46,0.004274299368262291,0.435,0.0004122266181918182
0.5,-0.010321442037820816,0.435,0.0004122266181918182
0.5263,0.009523455984890461,0.435,0.0004122266181918182
0.56,-0.007002821657806635,0.435,0.0004122266181918182
0.134,-0.0072631328366696835,0.435,0.0004122266181918182
0.5,-0.0007906658574938774,0.435,0.0004122266181918182
0.89,-0.006362982094287872,0.435,0.0004122266181918182
0.963,0.007630480453372002,0.435,0.0004122266181918182
0.48,0.004311151336878538,0.435,0.0004122266181918182
1.047,-0.09477607160806656,0.435,0.0004122266181918182
0.5263,0.016923902556300163,0.435,0.0004122266181918182
0.46,-0.0036371839232742786,0.435,0.0004122266181918182
0.5,-0.005162427201867104,0.435,0.0004122266181918182
0.896,-0.0019214055500924587,0.435,0.0004122266181918182
0.5,0.0016343388706445694,0.435,0.0004122266181918182
0.88414745,-0.0060788849368691444,0.435,0.0004122266181918182
1.05,-0.0677122175693512,0.435,0.0004122266181918182
0.5,-0.0030057067051529884,0.435,0.0004122266181918182
0.461,-0.005753474310040474,0.435,0.0004122266181918182
0.875,-0.0067268055863678455,0.435,0.0004122266181918182
0.5,-0.00475218053907156,0.435,0.0004122266181918182
1.0,0.00910833477973938,0.435,0.0004122266181918182
0.134,-0.009676377288997173,0.435,0.0004122266181918182
0.461,-0.005189898889511824,0.435,0.0004122266181918182
0.435,0.0019907341338694096,0.435,0.0004122266181918182
0.5263,-0.004480862058699131,0.435,0.0004122266181918182
1.0,0.0010803760960698128,0.435,0.0004122266181918182
0.5718,0.012085484340786934,0.435,0.0004122266181918182
0.88414745,0.0018877997063100338,0.435,0.0004122266181918182
0.5,-0.004121742211282253,0.435,0.0004122266181918182
0.963,0.0009845499880611897,0.435,0.0004122266181918182
0.47,0.004204353783279657,0.435,0.0004122266181918182
0.47,0.006732718087732792,0.435,0.0004122266181918182
1.0,0.010936012491583824,0.435,0.0004122266181918182
0.385,0.006817587651312351,0.435,0.0004122266181918182
0.7148,-0.005341881420463324,0.435,0.0004122266181918182
0.904974093,-0.005798159167170525,0.435,0.0004122266181918182
0.46,0.001642692368477583,0.435,0.0004122266181918182
0.47,0.009859897196292877,0.435,0.0004122266181918182
0.904974093,0.018923727795481682,0.435,0.0004122266181918182
0.5263,0.00309698935598135,0.435,0.0004122266181918182
0.5,-0.00682432483881712,0.435,0.0004122266181918182
0.47,-0.0025281247217208147,0.435,0.0004122266181918182
1.0,0.001557155977934599,0.435,0.0004122266181918182
0.7148,-0.002692787442356348,0.435,0.0004122266181918182
0.89708321,-0.002455510199069977,0.435,0.0004122266181918182
0.47,-0.006321517750620842,0.435,0.0004122266181918182
0.134,0.002957732416689396,0.435,0.0004122266181918182
0.56,0.003660936141386628,0.435,0.0004122266181918182
0.47,-0.003264722414314747,0.435,0.0004122266181918182
0.5263,-0.004793405067175627,0.435,0.0004122266181918182
0.5263,-0.004759562201797962,0.435,0.0004122266181918182
0.38,-0.002021048218011856,0.44,0.0002511968610566139
0.38,0.0052433917298913,0.44,0.0002511968610566139
0.5,0.006807869300246239,0.45,-8.252959238893438e-05
0.5,-0.0027573315892368555,0.45,-8.252959238893438e-05
0.5263,0.0008449367596767843,0.45,-8.252959238893438e-05
1.0,0.0010073073208332062,0.46,-0.0004903134242462428
0.41,0.006555752828717232,0.46,-0.0004903134242462428
0.5,-0.0009484805632382631,0.46,-0.0004903134242462428
0.89,-0.01729576289653778,0.46,-0.0004903134242462428
1.05,-0.055822405964136124,0.46,-0.0004903134242462428
0.89,-0.0036487355828285217,0.46,-0.0004903134242462428
0.5,-0.00423047412186861,0.46,-0.0004903134242462428
0.5,0.008374243043363094,0.46,-0.0004903134242462428
0.38,-0.005455236881971359,0.46,-0.0004903134242462428
0.5263,-0.0046140714548528194,0.46,-0.0004903134242462428
0.38,0.003671901300549507,0.46,-0.0004903134242462428
0.5,0.004531301558017731,0.46,-0.0004903134242462428
0.134,-0.004686377011239529,0.46,-0.0004903134242462428
0.89,-0.00650635315105319,0.46,-0.0004903134242462428
0.5263,-0.004331669304519892,0.46,-0.0004903134242462428
0.896,-0.015302231535315514,0.46,-0.0004903134242462428
0.56,-0.006508717779070139,0.46,-0.0004903134242462428
0.5263,-0.006329136900603771,0.46,-0.0004903134242462428
0.422,0.0030903564766049385,0.46,-0.0004903134242462428
0.47,-0.003867336781695485,0.46,-0.0004903134242462428
0.41,0.0036998437717556953,0.46,-0.0004903134242462428
0.5263,0.013823168352246284,0.46,-0.0004903134242462428
0.5263,-0.00782865285873413,0.46,-0.0004903134242462428
0.88414745,-0.002343880943953991,0.46,-0.0004903134242462428
