hatch spacing (mm),shap,lowess hatch spacing (mm),lowess shap
0.09,0.014566872268915176,0.05,-0.007883537145178037
0.08,0.0037749074399471283,0.05,-0.007883537145178037
0.11,0.0073791127651929855,0.05,-0.007883537145178037
0.09,0.0075943972915410995,0.05,-0.007883537145178037
0.04,0.025639470666646957,0.05,-0.007883537145178037
0.11,0.006026183255016804,0.05,-0.007883537145178037
0.09,0.006458207964897156,0.05,-0.007883537145178037
0.114,0.03248140588402748,0.053,-0.007259727268034019
0.13,-0.03353632241487503,0.055,-0.006841176097926366
0.15,0.003831537440419197,0.058,-0.006213991454734943
0.14,-0.019025515764951706,0.06,-0.005799472237550459
0.15,-0.03662417083978653,0.06,-0.005799472237550459
0.14,-0.02533584088087082,0.06,-0.005799472237550459
0.13,-0.02250613644719124,0.06,-0.005799472237550459
0.1,0.007928074337542057,0.06,-0.005799472237550459
0.11,0.008806496858596802,0.06,-0.005799472237550459
0.08,0.016255101189017296,0.06,-0.005799472237550459
0.13,-0.019968872889876366,0.06,-0.005799472237550459
0.12,-0.00774781871587038,0.06,-0.005799472237550459
0.06,0.000368654727935791,0.06,-0.005799472237550459
0.12,0.00974237360060215,0.06,-0.005799472237550459
0.12,-0.0035385671071708202,0.06,-0.005799472237550459
0.12,0.00563700869679451,0.06,-0.005799472237550459
0.13,-0.019382456317543983,0.06,-0.005799472237550459
0.1,-0.010473029688000679,0.06,-0.005799472237550459
0.08,0.003716118633747101,0.06,-0.005799472237550459
0.08,-0.0012131058610975742,0.06,-0.005799472237550459
0.14,-0.019234128296375275,0.06,-0.005799472237550459
0.11,0.024217918515205383,0.06,-0.005799472237550459
0.065,-0.03605950251221657,0.06,-0.005799472237550459
0.09,0.009412061423063278,0.06,-0.005799472237550459
0.13,-0.012350033968687057,0.06,-0.005799472237550459
0.11,-0.004199576564133167,0.06,-0.005799472237550459
0.12,-0.003973902203142643,0.06,-0.005799472237550459
0.1,-0.003407781943678856,0.06,-0.005799472237550459
0.13,-0.0021306294947862625,0.06,-0.005799472237550459
0.1,-0.004181914031505585,0.06,-0.005799472237550459
0.07,0.004116409923881292,0.06,-0.005799472237550459
0.106,0.007450929842889309,0.06,-0.005799472237550459
0.08,-0.005157237872481346,0.06,-0.005799472237550459
0.05,-0.006246492266654968,0.06,-0.005799472237550459
0.12,0.004776686895638704,0.06,-0.005799472237550459
0.12,-0.0046751550398766994,0.06,-0.005799472237550459
0.13,-0.019428255036473274,0.06,-0.005799472237550459
0.05,-0.031087536364793777,0.06,-0.005799472237550459
0.13,-0.0015749577432870865,0.06,-0.005799472237550459
0.12,0.02730153687298298,0.06,-0.005799472237550459
0.11,0.007029473781585693,0.06,-0.005799472237550459
0.065,-0.0172496996819973,0.06,-0.005799472237550459
0.13,-0.04305841028690338,0.06,-0.005799472237550459
0.121,-0.02028968371450901,0.06,-0.005799472237550459
0.15,-0.010623496025800705,0.06,-0.005799472237550459
0.04,0.012697173282504082,0.06,-0.005799472237550459
0.08,-0.0003345739096403122,0.06,-0.005799472237550459
0.08,0.007021220400929451,0.06,-0.005799472237550459
0.12,-0.007470365613698959,0.06,-0.005799472237550459
0.1,0.010304011404514313,0.06,-0.005799472237550459
0.09,0.00785764679312706,0.06,-0.005799472237550459
0.13,-0.023134496062994003,0.06,-0.005799472237550459
