laser power (watt),shap,lowess laser power (watt),lowess shap
280.0,0.07603561133146286,95.0,-0.1433402342814741
250.0,0.007342066615819931,95.0,-0.1433402342814741
150.0,-0.06266767531633377,95.0,-0.1433402342814741
200.0,-0.01677597686648369,95.0,-0.1433402342814741
90.0,-0.15031544864177704,95.0,-0.1433402342814741
250.0,0.04536689072847366,95.0,-0.1433402342814741
200.0,-0.025594759732484818,95.0,-0.1433402342814741
350.0,0.039390817284584045,95.0,-0.1433402342814741
75.0,-0.11353839188814163,95.0,-0.1433402342814741
300.0,0.07642272859811783,99.72,-0.13724260083234832
125.0,-0.042671579867601395,100.0,-0.13688103507055208
100.0,-0.21463017165660858,100.0,-0.13688103507055208
225.0,0.0176688339561224,100.0,-0.13688103507055208
170.0,-0.04844913259148598,100.0,-0.13688103507055208
280.0,0.05105332285165787,100.0,-0.13688103507055208
280.0,0.09383034706115723,100.0,-0.13688103507055208
250.0,0.04787753149867058,100.0,-0.13688103507055208
200.0,0.025970060378313065,100.0,-0.13688103507055208
200.0,-0.003659595502540469,100.0,-0.13688103507055208
300.0,0.05011119693517685,100.0,-0.13688103507055208
250.0,0.011367067694664001,100.0,-0.13688103507055208
125.0,-0.06505673378705978,100.0,-0.13688103507055208
200.0,0.003336782567203045,100.0,-0.13688103507055208
275.0,0.04937494546175003,100.0,-0.13688103507055208
80.0,-0.17887839674949646,100.0,-0.13688103507055208
350.0,0.06589379906654358,100.0,-0.13688103507055208
250.0,0.0039575956761837006,100.0,-0.13688103507055208
250.0,0.023924365639686584,100.0,-0.13688103507055208
350.0,0.05062961205840111,100.0,-0.13688103507055208
170.0,-0.05082213133573532,100.0,-0.13688103507055208
200.0,0.011052289977669716,100.0,-0.13688103507055208
200.0,0.005234204698354006,100.0,-0.13688103507055208
170.0,-0.013351980596780777,100.0,-0.13688103507055208
350.0,0.08292515575885773,100.0,-0.13688103507055208
275.0,0.0510907806456089,100.0,-0.13688103507055208
140.0,-0.132679745554924,100.0,-0.13688103507055208
135.0,-0.04862217605113983,100.0,-0.13688103507055208
200.0,-0.0287468321621418,100.0,-0.13688103507055208
200.0,0.010613765567541122,100.0,-0.13688103507055208
150.0,-0.04908975213766098,100.0,-0.13688103507055208
300.0,0.07189193367958069,100.0,-0.13688103507055208
170.0,-0.02693106234073639,100.0,-0.13688103507055208
66.48,-0.17139080166816711,100.0,-0.13688103507055208
105.0,-0.18285824358463287,100.0,-0.13688103507055208
270.0,0.05100614205002785,100.0,-0.13688103507055208
95.0,-0.18951033055782318,100.0,-0.13688103507055208
300.0,0.05838507041335106,100.0,-0.13688103507055208
210.0,0.027408190071582794,100.0,-0.13688103507055208
150.0,-0.024400752037763596,100.0,-0.13688103507055208
200.0,-0.01692650094628334,100.0,-0.13688103507055208
200.0,-0.01189611665904522,100.0,-0.13688103507055208
200.0,0.014213131740689278,100.0,-0.13688103507055208
150.0,-0.06620393693447113,100.0,-0.13688103507055208
73.0,-0.15073218941688538,100.0,-0.13688103507055208
170.0,-0.04870609939098358,100.0,-0.13688103507055208
155.0,-0.04580461233854294,100.0,-0.13688103507055208
150.0,-0.0707937479019165,100.0,-0.13688103507055208
75.0,-0.10142141580581665,100.0,-0.13688103507055208
200.0,0.024565380066633224,102.0,-0.13429914846863955
200.0,0.020850295200943947,102.0,-0.13429914846863955
100.0,-0.12277351319789886,102.0,-0.13429914846863955
250.0,0.00788979884237051,105.0,-0.13042914628543392
150.0,-0.09383790194988251,105.0,-0.13042914628543392
200.0,0.005480125546455383,105.0,-0.13042914628543392
250.0,0.00405939482152462,105.0,-0.13042914628543392
180.0,-0.03723786026239395,105.0,-0.13042914628543392
350.0,0.06376546621322632,105.0,-0.13042914628543392
250.0,0.025290388613939285,105.0,-0.13042914628543392
175.0,-0.027368411421775818,105.0,-0.13042914628543392
300.0,0.03735652565956116,105.0,-0.13042914628543392
175.0,-0.010604022070765495,105.0,-0.13042914628543392
170.0,-0.049360569566488266,105.0,-0.13042914628543392
300.0,0.06367944180965424,105.0,-0.13042914628543392
270.0,0.04891609400510788,110.0,-0.1239888580099711
125.0,-0.044482581317424774,110.0,-0.1239888580099711
200.0,0.021167408674955368,110.0,-0.1239888580099711
200.0,0.021256403997540474,110.0,-0.1239888580099711
350.0,0.05700913071632385,110.0,-0.1239888580099711
300.0,0.03577324375510216,110.0,-0.1239888580099711
200.0,-0.0018624139484018087,116.34,-0.11584518647083095
190.0,-0.015767807140946388,120.0,-0.11115772485418562
180.0,-0.016945602372288704,120.0,-0.11115772485418562
200.0,0.008262721821665764,120.0,-0.11115772485418562
200.0,-0.023860648274421692,120.0,-0.11115772485418562
200.0,0.012955114245414734,120.0,-0.11115772485418562
