layer thickness (mm),shap,lowess layer thickness (mm),lowess shap
0.02,0.04291090369224548,0.03,0.0032102332421618403
0.03,0.007287623360753059,0.03,0.0032102332421618403
0.03,0.005161478649824858,0.03,0.0032102332421618403
0.1,-0.05245165899395943,0.03,0.0032102332421618403
0.04,-0.022218164056539536,0.03,0.0032102332421618403
0.03,0.0061116828583180904,0.03,0.0032102332421618403
0.1,-0.07194242626428604,0.03,0.0032102332421618403
0.03,0.0021781455725431442,0.03,0.0032102332421618403
0.03,0.0005325726233422756,0.03,0.0032102332421618403
0.09,-0.04213199391961098,0.03,0.0032102332421618403
0.06,-0.026481781154870987,0.03,0.0032102332421618403
0.03,0.0027942988090217113,0.03,0.0032102332421618403
0.025,0.0074086906388401985,0.03,0.0032102332421618403
0.03,0.0051023405976593494,0.03,0.0032102332421618403
0.06,-0.05031987652182579,0.03,0.0032102332421618403
0.03,-0.00069947331212461,0.03,0.0032102332421618403
0.03,0.005663094576448202,0.03,0.0032102332421618403
0.03,0.004733804613351822,0.03,0.0032102332421618403
0.03,0.010171500965952873,0.03,0.0032102332421618403
0.03,0.007823769934475422,0.03,0.0032102332421618403
0.04,-0.017566770315170288,0.03,0.0032102332421618403
0.03,-0.004221150651574135,0.03,0.0032102332421618403
0.06,-0.047710269689559937,0.03,0.0032102332421618403
0.05,-0.0038245529867708683,0.03,0.0032102332421618403
0.05,-0.007158010266721249,0.03,0.0032102332421618403
0.06,-0.028448060154914856,0.03,0.0032102332421618403
0.03,0.009693142026662827,0.03,0.0032102332421618403
0.03,0.010050581768155098,0.03,0.0032102332421618403
0.025,0.01606076769530773,0.03,0.0032102332421618403
0.03,0.01046999916434288,0.03,0.0032102332421618403
0.03,-0.0017837390769273043,0.03,0.0032102332421618403
0.03,0.0040084426291286945,0.03,0.0032102332421618403
0.06,-0.03292880952358246,0.03,0.0032102332421618403
0.06,-0.011944595724344254,0.03,0.0032102332421618403
0.1,-0.060812994837760925,0.03,0.0032102332421618403
0.03,-0.01076999120414257,0.03,0.0032102332421618403
0.03,-0.011096836999058723,0.03,0.0032102332421618403
0.03,0.011240965686738491,0.03,0.0032102332421618403
0.03,0.015059785917401314,0.03,0.0032102332421618403
0.03,0.0028388802893459797,0.03,0.0032102332421618403
0.03,-0.0006040632724761963,0.03,0.0032102332421618403
0.04,-0.015245356597006321,0.03,0.0032102332421618403
0.02,0.028388123959302902,0.03,0.0032102332421618403
0.03,0.001420110696926713,0.03,0.0032102332421618403
0.04,-0.006372728385031223,0.03,0.0032102332421618403
0.03,0.010218095034360886,0.03,0.0032102332421618403
0.03,-0.0011680121533572674,0.03,0.0032102332421618403
0.03,0.0008670161478221416,0.03,0.0032102332421618403
0.08,-0.053830452263355255,0.03,0.0032102332421618403
0.04,-0.02229662612080574,0.03,0.0032102332421618403
0.03,-4.8922374844551086e-05,0.03,0.0032102332421618403
0.03,0.0064854491502046585,0.03,0.0032102332421618403
0.1,-0.05460755527019501,0.03,0.0032102332421618403
0.03,-0.0019252174533903599,0.03,0.0032102332421618403
0.04,-0.010780474171042442,0.03,0.0032102332421618403
0.05,-0.012880472466349602,0.03,0.0032102332421618403
0.04,-0.008906873874366283,0.03,0.0032102332421618403
0.02,0.05550352483987808,0.03,0.0032102332421618403
0.03,0.0028306455351412296,0.03,0.0032102332421618403
0.03,7.035164162516594e-05,0.03,0.0032102332421618403
0.03,0.0029279650188982487,0.03,0.0032102332421618403
0.04,-0.016196168959140778,0.03,0.0032102332421618403
0.03,0.0092384098097682,0.03,0.0032102332421618403
0.03,0.0027280189096927643,0.03,0.0032102332421618403
0.1,-0.07872994989156723,0.03,0.0032102332421618403
0.06,-0.025692716240882874,0.03,0.0032102332421618403
0.03,-0.012404842302203178,0.03,0.0032102332421618403
0.03,0.00519709475338459,0.03,0.0032102332421618403
0.02,0.05833306908607483,0.03,0.0032102332421618403
0.03,0.00436810590326786,0.03,0.0032102332421618403
0.03,0.0007223659195005894,0.03,0.0032102332421618403
0.03,0.006286114454269409,0.03,0.0032102332421618403
0.02,0.038115404546260834,0.03,0.0032102332421618403
0.03,0.0037942929193377495,0.03,0.0032102332421618403
0.03,0.008354714140295982,0.03,0.0032102332421618403
0.05,-0.011589393950998783,0.03,0.0032102332421618403
0.04,-0.019809216260910034,0.03,0.0032102332421618403
0.03,0.0038529932498931885,0.03,0.0032102332421618403
0.03,0.009083281271159649,0.03,0.0032102332421618403
0.06,-0.056674085557460785,0.03,0.0032102332421618403
0.06,-0.011794015765190125,0.03,0.0032102332421618403
0.06,-0.028560135513544083,0.03,0.0032102332421618403
0.03,0.009136166423559189,0.03,0.0032102332421618403
0.02,0.047473035752773285,0.03,0.0032102332421618403
0.03,0.004826112650334835,0.03,0.0032102332421618403
0.03,0.00608478207141161,0.03,0.0032102332421618403
0.06,-0.03992408514022827,0.03,0.0032102332421618403
0.04,-0.02639010362327099,0.03,0.0032102332421618403
0.06,0.0031591961160302162,0.03,0.0032102332421618403
0.03,0.0033285943791270256,0.03,0.0032102332421618403
0.05,-0.018360013142228127,0.03,0.0032102332421618403
0.03,0.004133895970880985,0.03,0.0032102332421618403
