melting point (C),shap,lowess melting point (C),lowess shap
1375.0,0.015950769186019897,455.0,-0.008909731484450676
455.0,-0.1752043515443802,455.0,-0.008909731484450676
1375.0,0.007370755076408386,455.0,-0.008909731484450676
1260.0,0.014559161849319935,455.0,-0.008909731484450676
1354.0,0.026421869173645973,455.0,-0.008909731484450676
1650.0,0.0015964549966156483,477.0,-0.00802949105558827
640.0,0.002358491299673915,477.0,-0.00802949105558827
1660.0,0.008684893138706684,477.0,-0.00802949105558827
455.0,-0.12644454836845398,477.0,-0.00802949105558827
660.0,-0.0011216849088668823,477.0,-0.00802949105558827
502.0,-0.16416817903518677,477.0,-0.00802949105558827
1339.0,0.01635252684354782,477.0,-0.00802949105558827
1500.0,0.031280767172575,477.0,-0.00802949105558827
1684.0,-0.00046006031334400177,477.0,-0.00802949105558827
1339.0,0.013869145885109901,477.0,-0.00802949105558827
1260.0,0.008154748938977718,477.0,-0.00802949105558827
1684.0,0.006381295621395111,477.0,-0.00802949105558827
1375.0,0.010472382418811321,477.0,-0.00802949105558827
1435.97,0.019530775025486946,477.0,-0.00802949105558827
1684.0,0.019375834614038467,477.0,-0.00802949105558827
1426.0,0.007377831265330315,477.0,-0.00802949105558827
455.0,-0.1654486358165741,477.0,-0.00802949105558827
1423.0,0.025152437388896942,477.0,-0.00802949105558827
1417.44,0.017123639583587646,477.0,-0.00802949105558827
570.0,-0.010744232684373856,477.0,-0.00802949105558827
1684.0,0.003745273221284151,477.0,-0.00802949105558827
1375.0,0.01512707956135273,477.0,-0.00802949105558827
1354.0,0.011689027771353722,477.0,-0.00802949105558827
1684.0,0.0010678349062800407,477.0,-0.00802949105558827
1684.0,0.0078816507011652,477.0,-0.00802949105558827
1375.0,0.014859015122056007,477.0,-0.00802949105558827
1684.0,0.001262858510017395,477.0,-0.00802949105558827
502.0,-0.19095854461193085,477.0,-0.00802949105558827
1435.97,0.03349412977695465,477.0,-0.00802949105558827
1375.0,0.010423101484775543,477.0,-0.00802949105558827
3410.0,0.009721294045448303,502.0,-0.007039444048245996
1083.2,0.016675066202878952,502.0,-0.007039444048245996
1684.0,0.013445201329886913,502.0,-0.007039444048245996
570.0,-0.006660959683358669,502.0,-0.007039444048245996
570.0,0.0022795875556766987,502.0,-0.007039444048245996
1684.0,0.0017298515886068344,502.0,-0.007039444048245996
441.0,-0.17776726186275482,502.0,-0.007039444048245996
570.0,0.013867528177797794,502.0,-0.007039444048245996
640.0,0.000513173989020288,502.0,-0.007039444048245996
1071.0,0.010947899892926216,502.0,-0.007039444048245996
1071.0,0.0043716649524867535,502.0,-0.007039444048245996
1375.0,0.019778473302721977,502.0,-0.007039444048245996
1083.2,0.01560424454510212,502.0,-0.007039444048245996
1375.0,0.01890506222844124,502.0,-0.007039444048245996
640.0,-0.0035982253029942513,502.0,-0.007039444048245996
1071.0,0.022848743945360184,502.0,-0.007039444048245996
1339.0,0.015607385896146297,502.0,-0.007039444048245996
999.0,0.003386019729077816,503.0,-0.007000074839292681
1684.0,0.005655655637383461,503.0,-0.007000074839292681
1650.0,0.02813209407031536,503.0,-0.007000074839292681
999.0,0.02200145088136196,503.0,-0.007000074839292681
1375.0,0.020056424662470818,503.0,-0.007000074839292681
1400.0,0.016035636886954308,503.0,-0.007000074839292681
649.0,0.006076013669371605,504.0,-0.006960723814824748
1071.0,0.023927923291921616,504.0,-0.006960723814824748
1480.57,0.012857917696237564,504.0,-0.006960723814824748
1260.0,0.019759271293878555,504.0,-0.006960723814824748
1375.0,0.012133301235735416,504.0,-0.006960723814824748
477.0,-0.1820034682750702,504.0,-0.006960723814824748
1684.0,-0.00567591143772006,504.0,-0.006960723814824748
605.0,0.01677446812391281,504.0,-0.006960723814824748
1435.97,0.014401493594050407,504.0,-0.006960723814824748
570.0,-0.0015186737291514874,504.0,-0.006960723814824748
1339.0,0.017438668757677078,504.0,-0.006960723814824748
1260.0,0.003638654947280884,504.0,-0.006960723814824748
1375.0,0.01858403906226158,504.0,-0.006960723814824748
477.0,-0.17754675447940826,504.0,-0.006960723814824748
1260.0,0.013418606482446194,504.0,-0.006960723814824748
591.0,0.03241093456745148,558.0,-0.004861213281693287
1260.0,0.012118576094508171,558.0,-0.004861213281693287
1375.0,0.005420919507741928,558.0,-0.004861213281693287
1260.0,0.031832147389650345,558.0,-0.004861213281693287
1684.0,-0.006549776066094637,558.0,-0.004861213281693287
640.0,0.016993805766105652,558.0,-0.004861213281693287
504.0,-0.03718148171901703,570.0,-0.004400854008666722
1083.2,0.016603775322437286,570.0,-0.004400854008666722
1260.0,0.009844142943620682,570.0,-0.004400854008666722
1410.0,0.020922992378473282,570.0,-0.004400854008666722
1400.0,0.006362041924148798,570.0,-0.004400854008666722
1083.2,0.018316593021154404,570.0,-0.004400854008666722
1260.0,0.00759707298129797,570.0,-0.004400854008666722
1339.0,0.01576787419617176,570.0,-0.004400854008666722
570.0,0.017121190205216408,570.0,-0.004400854008666722
1684.0,0.020380714908242226,570.0,-0.004400854008666722
1375.0,0.008512673899531364,570.0,-0.004400854008666722
1364.0,0.009868377819657326,570.0,-0.004400854008666722
502.0,-0.14790065586566925,570.0,-0.004400854008666722
1684.0,0.008933844044804573,570.0,-0.004400854008666722
504.0,-0.04211176186800003,570.0,-0.004400854008666722
1500.0,0.024236761033535004,570.0,-0.004400854008666722
1260.0,0.006970907561480999,570.0,-0.004400854008666722
1260.0,0.01800416223704815,570.0,-0.004400854008666722
